Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Oxtunga nöt	100	0,0	734	176	16,2	0,0	0,0	12,4	5,9	5,0	0,5	0,0	0,0	0,3	3,0	2,4	0,0	0,3	4,5	0,3	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	14	12	0,30	0,28	0,28	24	0,08	0,34	0	8,0	5,0	0,12	4,90	19	175	2,60	295	9	18	97	9,0	3,10	100,0	0,9	70,5	25	
Paella	100	0,8	465	111	8,6	8,7	0,0	4,4	1,1	2,1	0,9	0,0	0,0	0,0	0,8	0,2	0,0	0,2	1,8	0,6	0,1	0,0	0,0	0,0	0,0	0,2	0,3	0,3	27	24	0,42	0,98	0,98	41	0,07	0,08	4	4,6	3,0	0,13	1,08	10	119	1,54	127	35	20	275	10,8	0,95	36,6	1,3	76,1	1	
Pajfyllning efterrätt	100	2,8	480	115	0,9	25,1	0,0	0,4	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	7,2	14,6	14,6	16	0	0,00	0,56	0,56	190	0,02	0,02	10	0,4	0,3	0,04	0,00	8	24	0,56	158	27	12	3	0,0	0,17	0,0	0,4	70,4	3	
Pajfyllning förrätt	100	0,3	645	154	10,5	4,9	0,0	10,3	5,0	3,4	0,9	0,5	0,2	0,7	2,6	0,8	0,0	0,2	2,8	0,5	0,2	0,0	0,1	0,0	0,1	0,9	2,6	0,7	104	101	0,53	0,81	0,81	37	0,07	0,18	1	3,0	0,7	0,13	1,50	16	180	0,66	178	181	16	499	8,9	1,13	102,8	2,4	71,6	7	
Pajskal gräddat	100	1,5	1 999	478	5,8	41,2	0,0	32,1	13,0	13,3	5,5	0,1	0,8	0,4	9,2	1,0	0,0	0,0	13,3	4,4	1,7	0,0	0,0	0,0	0,0	0,0	0,9	0,1	312	312	3,90	4,53	4,53	1	0,21	0,06	1	3,2	2,2	0,14	0,04	10	66	0,67	70	10	14	235	1,4	0,45	0,0	0,9	18,6	0	
Palsternacka	100	4,5	272	65	1,6	11,0	0,0	0,6	0,1	0,0	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	1,6	2,2	2,2	2	0	0,00	0,82	0,82	20	0,09	0,18	6	1,0	0,7	0,11	0,00	67	94	0,70	490	74	25	3	0,0	0,50	0,0	1,3	81,0	27	
Palsternacka kokt 	100	4,2	257	61	1,5	10,4	0,0	0,6	0,1	0,0	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	1,5	2,1	2,1	2	0	0,00	0,77	0,77	19	0,06	0,11	3	0,9	0,7	0,06	0,00	44	89	0,66	462	70	24	3	0,0	0,47	0,0	1,2	82,1	25	
Paltbröd kokt	100	1,3	322	77	3,9	12,8	0,0	0,8	0,1	0,2	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,2	0,0	0,0	0,0	0,0	0,0	2,6	5,0	5,0	3	3	0,24	0,06	0,06	0	0,06	0,03	0	1,4	0,7	0,04	0,07	3	65	6,99	46	15	5	1 023	0,8	0,35	16,1	3,2	78,1	0	
Pannbiff blandfärs stekt	100	0,8	699	167	11,1	6,3	0,0	10,7	3,7	4,9	1,5	0,1	0,0	0,2	2,0	1,2	0,0	0,2	4,6	1,1	0,3	0,0	0,0	0,0	0,0	1,7	1,8	0,9	21	20	0,32	1,23	1,23	12	0,11	0,17	1	4,2	2,1	0,26	0,52	15	131	1,29	286	44	20	408	5,2	2,51	52,3	1,8	69,3	4	
Pannbiff gris stekt	100	0,4	1 094	261	19,6	7,6	0,0	16,9	7,0	6,9	1,9	0,0	0,0	0,3	4,2	2,4	0,0	0,6	6,2	1,5	0,1	0,1	0,0	0,0	0,1	0,3	0,2	0,1	35	35	0,75	0,73	0,73	6	0,46	0,24	0	7,6	3,9	0,31	0,69	9	226	1,25	371	21	31	803	9,0	3,09	111,2	3,1	52,4	2	
Pannbiff nötfärs stekt	100	0,3	747	179	18,5	7,4	0,0	8,1	3,8	3,1	0,4	0,1	0,0	0,3	1,9	1,3	0,0	0,2	2,8	0,3	0,0	0,0	0,0	0,0	0,0	0,3	1,6	0,1	33	32	0,53	0,35	0,35	16	0,07	0,28	0	6,9	3,4	0,39	0,98	15	185	2,21	311	51	23	643	9,2	4,71	85,9	2,5	63,1	1	
Pannbiff rå fryst	100	0,3	855	204	13,2	5,6	0,0	14,4	6,0	6,7	0,9	0,0	0,0	0,4	3,5	1,7	0,0	0,7	5,7	0,6	0,1	0,0	0,0	0,0	0,0	0,2	0,6	0,1	21	20	0,25	0,30	0,30	8	0,14	0,12	0	6,4	4,0	0,36	1,40	7	150	1,40	380	18	14	610	3,0	2,00	59,0	2,5	64,0	0	
Pannbiff stekt fryst	100	0,3	891	213	14,0	7,6	0,0	14,1	5,9	6,5	0,9	0,0	0,0	0,4	3,5	1,7	0,0	0,6	5,5	0,6	0,1	0,0	0,0	0,0	0,0	0,2	1,0	0,1	23	22	0,63	0,42	0,42	8	0,17	0,11	0	5,8	3,2	0,37	1,50	7	143	1,60	370	34	25	740	2,0	2,80	65,0	3,0	61,0	0	
Pannkaka på sojamjölk	100	0,6	776	186	6,5	23,1	0,0	7,3	2,3	2,7	1,5	0,0	0,1	0,1	1,7	0,3	0,0	0,1	2,7	1,2	0,3	0,0	0,0	0,0	0,0	0,4	0,9	0,6	79	77	0,75	0,99	0,99	21	0,12	0,11	0	2,2	1,0	0,08	0,25	24	93	0,92	96	28	20	269	5,4	0,38	77,4	1,1	61,5	2	
Pannkaka tunn fylld ospec.	100	0,6	773	185	11,0	13,5	0,0	9,5	4,1	2,9	0,8	0,5	0,2	0,5	2,0	0,8	0,0	0,2	2,6	0,5	0,1	0,0	0,0	0,0	0,1	0,1	3,0	0,2	117	89	1,32	0,96	0,96	342	0,14	0,21	2	3,9	1,4	0,14	0,94	25	174	0,73	210	141	20	419	9,5	1,01	134,7	2,0	63,4	2	
Pannkaka tunn hemlagad	100	0,8	834	199	7,1	23,3	0,0	8,4	3,1	2,6	0,8	0,3	0,2	0,4	1,5	0,6	0,0	0,2	2,2	0,6	0,1	0,0	0,0	0,0	0,0	0,1	4,8	0,0	70	70	0,54	0,80	0,80	0	0,17	0,21	0	2,9	1,2	0,12	0,80	24	140	0,50	194	110	17	230	6,6	0,80	127,0	1,4	59,0	0	
Pannkaka tunn m lättmjölk stekt	100	0,6	769	184	7,2	21,0	0,0	7,7	2,9	3,1	1,2	0,1	0,1	0,1	2,0	0,3	0,0	0,1	3,0	1,0	0,3	0,0	0,0	0,0	0,0	0,1	4,2	0,0	122	106	1,18	1,12	1,12	9	0,13	0,20	0	2,5	1,0	0,09	0,52	12	135	0,63	180	106	18	275	6,0	0,59	72,8	1,4	62,0	2	
Pannkakssmet m havre 3% fett ostekt Oatly	100	0,5	499	119	3,5	19,1	0,0	3,0	1,0	1,5	0,5	0,0	0,0	0,0	0,1	0,2	0,0	0,0	1,5	0,6	0,0	0,0	0,0	0,0	0,0	0,0	2,6	0,0	0	0	0,00	0,08	0,08	0	0,10	0,00	0	1,6	0,7	0,00	0,23	3	57	0,60	100	13	10	240	0,0	0,40	80,0	0,9	73,0	0	
Papaya	100	1,9	179	43	0,6	8,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,8	4,4	4,4	87	0	0,00	1,80	1,80	1 043	0,03	0,03	62	0,4	0,3	0,02	0,00	10	5	0,10	255	24	10	3	1,0	0,10	0,0	0,6	88,0	33	
Papaya torkad	100	5,0	1 099	263	3,4	57,6	0,0	0,6	0,2	0,2	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,1	0,0	0,1	0,0	0,0	0,0	0,0	27,2	25,0	25,0	567	0	0,00	0,50	0,50	6 800	0,18	0,17	219	1,9	1,4	0,11	0,00	3	28	0,60	1 439	135	56	17	1,0	0,40	0,0	3,4	30,0	0	
Paprika fylld m tomatsås	100	2,1	89	21	0,9	3,1	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,6	0,0	0,0	14	0	0,00	0,83	0,83	169	0,02	0,02	40	0,8	0,6	0,09	0,00	12	23	0,42	202	13	11	57	0,3	0,25	0,0	0,6	93,1	11	
Paprika förvälld	100	2,1	92	22	0,8	3,4	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,8	0,0	0,0	12	0	0,00	0,82	0,82	146	0,02	0,01	54	0,7	0,6	0,13	0,00	10	23	0,35	180	6	9	1	0,2	0,21	0,0	0,4	93,1	16	
Paprika grön	100	2,0	88	21	0,8	3,3	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,7	0,0	0,0	12	0	0,00	0,79	0,79	140	0,03	0,02	115	0,7	0,5	0,21	0,00	14	23	0,34	173	6	9	1	0,2	0,20	0,0	0,4	93,4	15	
Paprika grön gul röd	100	2,2	107	26	0,9	4,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,3	0,1	0,1	23	0	0,00	1,75	1,75	270	0,04	0,04	159	0,9	0,7	0,29	0,00	40	23	0,34	196	6	11	1	0,3	0,20	0,0	0,5	92,2	15	
Paprika grön röd fryst	100	3,0	107	26	1,0	3,0	0,0	0,4	0,1	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	2,9	0,1	0,1	125	0	0,00	1,70	1,70	1 500	0,08	0,08	100	1,7	1,5	0,14	0,00	14	10	0,50	91	30	8	65	0,5	0,10	0,0	0,6	92,0	0	
Paprika gul	100	3,0	122	29	1,1	4,4	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,4	0,2	0,2	12	0	0,00	2,20	2,20	140	0,05	0,02	205	1,1	0,9	0,35	0,00	55	25	0,29	218	7	16	1	0,5	0,10	0,0	0,5	90,9	15	
Paprika röd	100	1,9	130	31	1,1	5,2	0,0	0,2	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	4,5	0,1	0,1	55	0	0,00	3,20	3,20	660	0,05	0,09	200	1,0	0,9	0,41	0,00	77	24	0,39	218	6	11	1	0,2	0,30	0,0	0,6	91,1	15	
Paprikasallad inlagd u lag	100	3,0	129	31	1,0	4,3	0,0	0,4	0,1	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	4,4	0,1	0,0	250	0	0,00	0,80	0,80	3 000	0,02	0,04	60	0,4	0,2	0,10	0,00	52	15	0,20	170	6	11	527	1,0	0,30	0,0	1,3	90,0	0	
Paradisäpplen	100	2,0	338	81	0,4	17,9	0,0	0,3	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	4,8	1,0	1,0	2	0	0,00	0,60	0,60	24	0,03	0,02	8	0,2	0,1	0,05	0,00	3	15	0,40	194	18	7	1	1,0	0,00	0,0	0,4	79,0	8	
Paranötter	100	9,0	2 833	677	14,3	3,4	0,0	66,5	16,1	23,0	24,1	0,0	0,0	0,6	9,5	5,7	0,0	0,3	22,4	23,8	0,1	0,0	0,0	0,0	0,0	0,9	2,5	2,5	7	0	0,00	7,60	7,60	78	1,00	0,12	0	4,0	1,6	0,25	0,00	22	600	2,80	600	176	355	2	50,0	4,20	0,0	3,3	3,5	52	
Parisersmörgås u stekt ägg	100	1,3	854	204	13,5	16,1	0,0	9,2	3,8	3,6	0,9	0,1	0,1	0,2	2,3	0,9	0,0	0,1	3,4	0,7	0,2	0,0	0,0	0,0	0,0	0,3	3,0	1,7	68	67	0,84	0,87	0,87	14	0,10	0,22	0	5,3	2,7	0,27	0,64	20	147	1,67	241	41	19	546	7,0	2,94	74,6	2,1	57,9	2	
Parmesanost hårdost 30% fett riven	100	0,0	1 880	449	41,5	3,8	0,0	30,0	19,5	7,7	0,8	2,6	1,0	3,2	8,6	3,3	0,1	0,5	6,8	0,6	0,2	0,0	0,0	0,0	0,0	0,0	3,7	0,0	244	235	0,21	0,69	0,69	107	0,04	0,39	0	10,0	0,3	0,10	1,60	8	810	1,00	107	1 380	51	1 860	3,0	3,20	79,0	7,0	17,7	0	
Passionsfrukt	100	15,9	316	76	2,2	7,4	0,0	0,7	0,1	0,1	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,2	0,2	0,0	0,0	0,0	0,0	3,1	3,1	3,1	35	0	0,00	1,80	1,80	420	0,00	0,13	30	1,9	1,5	0,02	0,00	10	68	1,60	350	12	29	28	1,0	0,10	0,0	0,8	73,0	48	
Pasta	100	3,1	1 504	360	12,5	71,9	0,0	1,2	0,1	0,2	0,5	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,5	0,1	0,0	0,0	0,0	0,0	0,3	0,2	0,2	0	0	0,00	0,70	0,70	0	0,09	0,06	0	3,8	1,7	0,06	0,00	12	162	1,30	197	27	48	2	1,0	1,00	0,0	0,7	10,6	0	
Pasta berik	100	3,1	1 488	356	11,0	71,8	0,0	1,5	0,2	0,2	0,6	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,2	0,6	0,1	0,0	0,0	0,0	0,0	0,3	0,2	0,2	0	0	0,00	0,70	0,70	0	0,50	0,25	0	6,3	4,5	0,39	0,00	12	100	1,50	180	30	30	2	0,2	1,00	0,0	0,6	12,0	0	
Pasta berik kokt m salt	100	0,7	547	131	4,9	25,1	0,0	0,8	0,1	0,1	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,3	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0	0	0,00	0,20	0,20	0	0,18	0,09	0	2,4	1,6	0,14	0,00	3	57	0,60	10	7	13	202	0,2	0,44	0,0	0,7	67,7	0	
Pasta berik kokt u salt	100	1,1	536	128	4,0	25,9	0,0	0,5	0,1	0,1	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0	0	0,00	0,25	0,25	0	0,13	0,07	0	2,0	1,4	0,11	0,00	4	36	0,54	65	13	11	2	0,1	0,36	0,0	0,2	68,3	0	
Pasta färsk m ägg	100	1,7	552	132	5,3	22,8	0,0	1,6	0,4	0,6	0,4	0,0	0,0	0,0	0,3	0,1	0,0	0,0	0,5	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,5	0,1	0	0	0,00	0,29	0,29	0	0,05	0,04	0	2,0	0,7	0,05	0,00	13	68	0,67	35	110	17	309	1,1	0,48	30,2	0,8	67,7	0	
Pasta kokt m salt	100	1,1	542	130	4,5	25,9	0,0	0,4	0,1	0,1	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0	0	0,00	0,25	0,25	0	0,02	0,02	0	1,3	0,5	0,02	0,00	4	59	0,47	72	13	18	180	0,4	0,36	0,0	0,7	67,3	0	
Pasta kokt u salt	100	0,7	534	128	4,2	25,8	0,0	0,5	0,1	0,1	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0	0	0,00	0,20	0,20	0	0,02	0,02	0	1,1	0,4	0,02	0,00	3	58	0,50	70	10	13	1	0,2	0,40	0,0	0,2	68,6	0	
Pasta m tonfisk	100	0,6	607	145	6,4	17,5	0,0	5,3	1,1	1,0	2,4	0,1	0,0	0,1	0,6	0,2	0,0	0,0	1,0	2,2	0,3	0,0	0,0	0,0	0,0	0,4	0,6	0,3	59	58	0,52	0,53	0,53	10	0,13	0,08	0	3,8	2,6	0,14	0,30	7	68	0,60	58	18	13	231	5,1	0,46	13,2	0,8	69,4	0	
Pasta Äggnudlar	100	2,9	1 576	377	14,0	68,2	0,0	4,2	0,9	1,2	1,2	0,0	0,0	0,0	0,7	0,2	0,0	0,1	1,1	1,1	0,1	0,0	0,0	0,0	0,0	0,1	1,7	0,6	18	18	0,30	0,70	0,70	0	0,17	0,09	0	4,4	2,1	0,10	0,40	29	214	1,90	234	31	60	21	1,0	1,60	95,0	1,0	9,7	0	
Pastasallad kött korv m vinägrettsås	100	0,3	823	197	10,1	10,5	0,0	12,7	2,2	6,8	3,0	0,0	0,0	0,1	1,4	0,6	0,1	0,2	6,3	2,0	0,9	0,0	0,0	0,0	0,0	0,1	0,2	0,2	12	3	0,22	2,13	2,13	102	0,22	0,12	2	3,8	1,9	0,20	0,45	4	105	0,73	136	16	17	1 174	2,3	1,51	29,5	3,2	63,1	0	
Pastasås m tomat Findus	100	3,0	442	106	1,9	13,1	0,0	4,4	0,3	2,2	1,0	0,0	0,0	0,0	0,2	0,1	0,0	0,0	2,1	0,7	0,3	0,0	0,0	0,0	0,0	10,8	1,6	1,6	46	0	0,00	3,26	3,26	546	0,05	0,06	11	2,0	1,7	0,24	0,00	42	39	0,68	458	21	20	464	0,3	0,23	0,0	2,1	75,5	0	
Pastasås olika märken	100	2,2	213	51	1,6	5,3	0,0	2,1	0,2	1,2	0,2	0,0	0,0	0,0	0,2	0,1	0,0	0,0	1,2	0,2	0,0	0,0	0,0	0,0	0,0	5,1	1,2	1,2	50	14	0,00	2,63	2,63	434	0,05	0,05	11	1,6	1,3	0,17	0,00	42	34	0,77	397	33	17	500	0,2	0,27	0,0	2,3	86,6	0	
Paté på köttfärs kycklinglever	100	0,1	788	188	17,2	4,7	0,0	11,2	4,3	4,7	1,4	0,0	0,0	0,2	2,4	1,6	0,0	0,3	4,3	0,9	0,2	0,1	0,0	0,0	0,1	0,4	0,3	0,3	2 576	2 575	0,49	1,18	1,18	9	0,18	0,69	6	8,8	5,5	0,38	6,83	183	210	3,77	262	20	20	647	19,2	3,60	182,7	2,5	64,3	2	
Pekannötter	100	9,0	2 870	686	7,8	8,8	0,0	68,0	5,4	42,2	16,7	0,0	0,0	0,0	4,1	1,0	0,0	0,3	41,2	16,0	0,7	0,0	0,0	0,0	0,0	0,0	1,1	1,1	7	0	0,00	3,10	3,10	78	0,85	0,10	2	2,2	0,9	0,19	0,00	39	290	2,10	390	36	128	1	10,0	5,50	0,0	1,6	4,8	47	
Pepparkakor	100	1,5	1 930	461	5,3	72,9	0,0	15,9	6,6	6,9	1,7	0,3	0,8	0,4	1,9	2,9	0,2	0,2	6,5	1,5	0,3	0,0	0,0	0,0	0,0	3,0	32,8	32,8	124	123	1,02	1,50	1,50	10	0,08	0,18	0	4,6	3,7	0,07	0,00	9	69	0,60	153	25	23	690	1,0	0,90	15,0	2,2	2,2	0	
Pepparkakor sötade m sorbitol	100	1,5	2 110	504	8,0	63,2	0,0	24,0	9,9	10,4	2,6	0,4	1,2	0,7	2,9	4,3	0,2	0,2	9,7	2,2	0,4	0,0	0,0	0,0	0,0	3,0	0,0	0,0	124	123	1,02	1,50	1,50	10	0,08	0,18	0	5,0	3,7	0,07	0,00	9	69	0,60	153	25	23	690	1,0	0,50	15,0	1,8	1,5	0	
Pepparrot	100	7,3	341	81	4,5	10,8	0,0	0,6	0,1	0,1	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,1	0,2	0,0	0,0	0,0	0,0	0,7	5,9	5,9	2	0	0,00	0,00	0,00	20	0,14	0,11	152	1,4	0,6	0,18	0,00	36	120	1,20	740	78	43	7	0,2	1,40	0,0	1,8	75,0	27	
Pepparrotskött nötkött lök morötter sås	100	0,4	596	142	13,2	2,8	0,0	8,7	4,0	3,6	0,4	0,0	0,0	0,2	2,1	1,5	0,0	0,2	3,3	0,2	0,1	0,0	0,0	0,0	0,0	0,4	0,7	0,4	43	10	0,42	0,28	0,28	345	0,04	0,10	1	6,5	4,0	0,17	0,62	9	123	2,16	261	20	18	295	6,1	3,04	35,5	1,5	73,4	20	
Persika	100	2,1	179	43	0,7	8,6	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,7	5,1	5,1	7	0	0,00	1,80	1,80	86	0,02	0,04	8	1,1	1,0	0,02	0,00	4	12	0,50	197	5	11	3	0,4	0,10	0,0	0,5	88,0	24	
Persikonektar pastöriserad drickf	100	0,5	230	55	0,3	13,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,1	6,4	6,4	13	0	0,00	0,40	0,40	156	0,01	0,01	5	0,4	0,3	0,01	0,00	1	6	0,20	40	5	4	7	0,1	0,10	0,0	0,2	86,0	0	
Persikor konserv m medelsöt lag	100	0,8	348	83	0,4	19,5	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	7,4	9,2	7,8	8	0	0,00	0,40	0,40	100	0,01	0,02	3	0,7	0,6	0,02	0,00	3	11	0,30	92	3	6	6	0,3	0,30	0,0	0,2	79,0	0	
Persikor torkade	100	8,2	1 056	252	3,6	52,9	0,0	0,8	0,1	0,2	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,3	0,0	0,0	0,0	0,0	0,0	12,8	38,0	38,0	108	0	0,00	0,50	0,50	1 290	0,00	0,20	5	5,0	4,4	0,07	0,00	14	119	4,10	1 000	28	42	7	0,5	0,60	0,0	2,5	32,0	0	
Persilja blad	100	2,9	147	35	2,2	4,4	0,0	0,3	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,8	0,0	0,0	467	0	0,00	2,70	2,70	5 600	0,12	0,30	182	2,1	1,7	0,20	0,00	183	71	3,60	710	340	25	34	0,5	1,50	0,0	2,2	88,0	0	
Pestosås basilika parmesan valnöt	100	2,1	2 626	628	12,3	6,4	0,0	61,9	10,4	32,3	16,2	0,4	0,2	0,6	6,9	1,9	0,2	0,5	31,3	13,5	2,5	0,0	0,0	0,0	0,0	0,4	1,5	0,9	66	40	0,04	5,38	5,38	306	0,14	0,13	3	3,0	0,5	0,22	0,27	28	255	1,35	238	289	64	644	2,2	1,68	13,5	2,8	14,5	19	
Pestosås m basilika pinjenötter cashewnötter	100	4,1	2 431	581	4,2	12,6	0,0	57,1	7,9	28,5	18,2	0,1	0,0	0,1	5,2	2,0	0,2	0,3	27,9	17,9	0,3	0,0	0,0	0,0	0,0	1,0	1,2	0,1	112	30	0,69	21,00	21,00	965	0,02	0,15	2	1,2	0,6	0,13	0,14	34	90	0,91	196	125	37	1 288	1,7	0,63	1,1	4,1	18,0	0	
Petits-choux fyllda m vispgrädde sylt	100	0,6	1 188	284	5,1	17,6	0,0	21,6	11,9	6,5	1,5	1,4	0,6	1,5	6,0	1,9	0,0	0,2	6,1	1,2	0,4	0,0	0,0	0,0	0,0	2,6	3,1	1,8	218	212	1,08	1,52	1,52	73	0,09	0,12	1	1,8	0,7	0,07	0,35	11	82	0,67	90	41	11	84	5,9	0,31	126,1	0,6	54,6	3	
Physalis	100	4,2	239	57	1,8	8,9	0,0	0,6	0,2	0,1	0,1	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,1	0,0	0,0	0,0	0,0	8,3	3,4	3,4	140	0	0,00	0,70	0,70	1 650	0,10	0,06	46	1,8	1,5	0,26	0,00	51	39	0,77	382	8	23	1	1,6	0,36	0,0	4,2	80,3	0	
Picknickbog rå gris	100	0,0	505	121	19,5	0,0	0,0	4,7	2,0	1,9	0,5	0,0	0,0	0,1	1,2	0,7	0,0	0,2	1,7	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,92	0,39	0	9,7	6,1	0,52	0,63	6	204	1,50	373	7	27	76	11,0	2,80	50,0	1,1	74,7	0	
Piggvar	100	0,0	347	83	16,7	0,0	0,0	1,7	0,4	0,4	0,8	0,0	0,0	0,0	0,3	0,0	0,0	0,1	0,2	0,1	0,0	0,0	0,2	0,1	0,1	0,0	0,0	0,0	14	14	2,04	0,80	0,80	0	0,02	0,15	0	6,1	3,0	0,22	1,00	11	159	0,50	290	17	45	114	25,0	0,20	50,0	1,2	80,4	51	
Piggvar kokt	100	0,0	372	89	17,9	0,0	0,0	1,8	0,4	0,4	0,9	0,0	0,0	0,0	0,3	0,0	0,0	0,1	0,2	0,1	0,0	0,0	0,2	0,1	0,1	0,0	0,0	0,0	15	15	2,19	0,86	0,86	0	0,02	0,14	0	6,5	3,2	0,22	0,96	8	171	0,54	311	19	48	271	26,8	0,21	53,6	1,7	78,6	55	
Pirog köttpirog fryst värmd	100	1,3	1 233	295	8,8	33,5	0,0	13,6	5,3	5,9	1,8	0,1	0,2	0,3	3,2	1,2	0,1	0,2	5,5	1,3	0,4	0,0	0,0	0,0	0,0	2,7	1,8	0,4	283	229	0,47	1,99	1,99	653	0,26	0,15	2	4,4	2,8	0,25	0,20	35	109	1,04	226	44	18	511	5,0	2,11	24,0	1,9	40,9	0	
Pirog m köttfärsfyllning	100	1,3	1 483	354	9,0	26,8	0,0	23,3	9,5	9,7	3,7	0,1	0,5	0,3	6,5	1,2	0,0	0,1	9,5	2,9	1,1	0,0	0,0	0,0	0,0	0,9	1,1	0,6	268	205	2,59	3,07	3,07	653	0,18	0,12	1	4,1	2,5	0,21	0,30	12	100	1,10	174	18	18	566	4,1	1,51	38,6	1,9	37,6	3	
Pirog u fyllning gräddad	100	1,4	1 955	467	6,4	39,5	0,0	31,4	12,6	13,1	5,3	0,1	0,7	0,4	9,0	1,0	0,0	0,0	13,0	4,3	1,6	0,0	0,0	0,0	0,0	0,1	0,9	0,1	314	314	3,84	4,46	4,46	4	0,21	0,09	1	3,3	2,1	0,14	0,13	12	78	0,79	76	14	15	441	3,1	0,45	31,1	1,4	19,9	1	
